PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate
--48RnFczF55WcDFpy5y_Q,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.87056425110688,-73.86932652339482,POINT (-73.86932652339482 40.87056425110688),Bronx,https://www.google.com/maps/@?api=1&map_action=pano&pano=--48RnFczF55WcDFpy5y_Q,2019-08
--T2iuvfxXJrzbgD7R3W-g,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,40.6690985670363,-73.76244689609075,POINT (-73.76244689609075 40.6690985670363),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=--T2iuvfxXJrzbgD7R3W-g,2020-10
--VGAsqPgTXxgZFXuhuhbg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.76679030231237,-73.7712107859631,POINT (-73.7712107859631 40.76679030231237),Queens,https://www.google.com/maps/@?api=1&map_action=pano&pano=--VGAsqPgTXxgZFXuhuhbg,2020-11
--YJY0GGvay_3W_O5ObeNQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.55425348634071,-74.20160298846051,POINT (-74.20160298846051 40.55425348634071),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=--YJY0GGvay_3W_O5ObeNQ,2019-09
--fUkaf5nn1-bm4KiJ9pVA,1,0,1,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.61108412672856,-74.16280280196275,POINT (-74.16280280196275 40.61108412672856),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=--fUkaf5nn1-bm4KiJ9pVA,2019-09
--k-Ks6OwSQdg7Dv9NlMig,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.53845108570733,-74.1950758910347,POINT (-74.1950758910347 40.53845108570733),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=--k-Ks6OwSQdg7Dv9NlMig,2019-09
--kQB7vdISN5ZhBDo82BHg,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.70663303266096,-73.93570246701009,POINT (-73.93570246701009 40.70663303266096),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=--kQB7vdISN5ZhBDo82BHg,2020-11
--lFLXhUjKcdMMoWR_uIAA,0,0,0,0,0,0,0,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,40.55187796374894,-74.17993418060382,POINT (-74.17993418060382 40.55187796374894),Staten Island,https://www.google.com/maps/@?api=1&map_action=pano&pano=--lFLXhUjKcdMMoWR_uIAA,2019-09
-0Kgxt4Lfda78gY2WuEMqA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,2 vs 1,40.63982610941098,-73.89777023441276,POINT (-73.89777023441276 40.63982610941098),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0Kgxt4Lfda78gY2WuEMqA,2018-06
-0KlvkzMEDcLyTePpuY3sg,5,0,5,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.69288765636261,-73.95673315914595,POINT (-73.95673315914595 40.69288765636261),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-0KlvkzMEDcLyTePpuY3sg,2020-11
