IntersectionId,Url,Borough,TrafficSignal,Lat,Long,PanoramaId,ImageDate
AXjK_--KLVwDtjXR1esd,2238,The Bronx,,40.890191199864,-73.8195358000371,X7F7t3o1eR1gPT_3Mdhuiw,2019-11
AXjK_--dgxjkLnQCdqZ9,1704,The Bronx,,40.8597029998936,-73.8454820000942,SEqkoCI1A4R3J6Q6OUiQDg,2012-04
AXjK_--uLVwDtjXR1ese,2239,The Bronx,,40.8565628002331,-73.8694074001314,bebwdVkWcKQRIrqFnHQodQ,2019-10
AXjK_-09LVwDtjXR1esP,1689,The Bronx,,40.8595829997557,-73.866528000267,EkUAZd0irLLB24j_pqjjLA,2019-11
AXjK_-0aLVwDtjXR1esO,1688,The Bronx,TrafficLight,40.859675000401,-73.8597990002236,kQTtiuw_dBjZuFsL7WsVvw,2020-10
AXjK_-0agxjkLnQCdqZt,2221,The Bronx,,40.8124998996507,-73.8568074000414,zhK_fPWMFHp7SVBJlqCWFA,2019-07
AXjK_-1CgxjkLnQCdqZu,2222,The Bronx,,40.8098299995549,-73.8564317999875,jtx5REFx3oE7eEQ2NLZBOg,2019-09
AXjK_-1iLVwDtjXR1esQ,1690,The Bronx,,40.8587987999247,-73.8343675001599,iH032cPIbuet7GUqjAOswA,2020-10
AXjK_-1ngxjkLnQCdqZv,2223,The Bronx,,40.8076000999647,-73.8559239995928,2d0QFeBgHVXYSEOOvWdhlg,2011-06
AXjK_-2EgxjkLnQCdqZw,2224,The Bronx,,40.8240739999152,-73.8597840004313,TFr06qUvc40FJ2jOH4WXJw,2019-07
AXjK_-2NLVwDtjXR1esR,1691,The Bronx,TrafficLight,40.8595019996176,-73.8430029999884,Pa5m7MartZCuHIc-CtWGxg,2020-10
AXjK_-2ngxjkLnQCdqZx,2225,The Bronx,,40.8078730999637,-73.8567607000462,qyFSq8nLGB1BovlaDqQnsw,2019-10
AXjK_-2zLVwDtjXR1esS,1692,The Bronx,,40.8597511001332,-73.8546188998423,08etHPsW_7CmBN8SA3QYaA,2020-10
AXjK_-33LVwDtjXR1esT,1694,The Bronx,,40.8596320002167,-73.8445379997289,Kp_908HKqffMn2QVSDAZQA,2020-10
AXjK_-3agxjkLnQCdqZy,2226,The Bronx,,40.8543670002369,-73.8687009997513,ijnxOWll9mWyEhBm7GJE4Q,2019-09
AXjK_-44LVwDtjXR1esU,2228,The Bronx,,40.8278098997072,-73.917224900109,0pTd002yJQKiXKHTQTgoDA,2019-08
AXjK_-4MgxjkLnQCdqZz,2227,The Bronx,,40.8566264002882,-73.86865849959,D2QeYcQ86ezCYyheBFnFKQ,2019-10
AXjK_-4vgxjkLnQCdqZ0,1695,The Bronx,,40.8597939995935,-73.8473600003637,eJG-wmBXoLNMHM25ZiMQ8g,2018-08
AXjK_-5agxjkLnQCdqZ1,1696,The Bronx,,40.8589549995736,-73.8362436999867,wGbAgXCyJnIXkDy2lFNieQ,2020-10
AXjK_-5dLVwDtjXR1esV,2229,The Bronx,,40.832560000044,-73.885379999987,sva9ZrGSRg0ON4-j6wnnDg,2019-10
AXjK_-6ALVwDtjXR1esW,2230,The Bronx,,40.8342109997379,-73.8843940003828,5rXm-ougUlFEBlaEP9tdfA,2019-10
AXjK_-6DgxjkLnQCdqZ2,1697,The Bronx,,40.8597599998242,-73.8540139996463,veKOk-re0_1JIA4adkSOqw,2020-10
AXjK_-6kLVwDtjXR1esX,2231,The Bronx,TrafficLight,40.8358854996162,-73.8834017001283,uvEWOAnQ-7eAYh0s7olczQ,2019-11
AXjK_-6ogxjkLnQCdqZ3,1698,The Bronx,,40.859594000263,-73.8655849999478,v6_wMCIXq4d8hzXKQsmx4A,2019-11
AXjK_-77gxjkLnQCdqZ5,1700,The Bronx,,40.8597330003777,-73.8559669997772,UmiOr2LW-na2W4uRALMNFA,2020-10
AXjK_-7LLVwDtjXR1esY,2233,The Bronx,,40.8309009999812,-73.8863760000523,UHG0fj01E1qRhiJeSG5sVw,2019-10
AXjK_-7RgxjkLnQCdqZ4,1699,The Bronx,,40.8591892999463,-73.8390585995747,c5Iq3Hc68HW_WSDU3qAgoQ,2020-10
AXjK_-7yLVwDtjXR1esZ,2234,The Bronx,,40.8300589998231,-73.8864099998216,X7WwgbEEy6XdnrOdVyt9jw,2019-10
AXjK_-83LVwDtjXR1esb,2236,The Bronx,,40.843909,-73.9241279999072,dwj-lqy_SEehxQNU6IKh7w,2019-09
AXjK_-8ULVwDtjXR1esa,2235,The Bronx,,40.8444191997863,-73.925053799793,YDge6ilncp-IHpjkf06QUQ,2019-09
AXjK_-8lgxjkLnQCdqZ6,1701,The Bronx,,40.859030100159,-73.8371744002783,bALbGATapvGOVgGQdID7VQ,2020-10
AXjK_-97gxjkLnQCdqZ8,1703,The Bronx,,40.8593319998719,-73.8409319998119,8pMkMVSxJXTIGKV5lFJX1A,2020-10
AXjK_-9MgxjkLnQCdqZ7,1702,The Bronx,,40.859637999594,-73.8627650003045,0FbXw0Of21jnsT7d4yog1A,2017-10
AXjK_-9iLVwDtjXR1esc,2237,The Bronx,,40.8902395995779,-73.8197159000687,cr9zsDQilEQvyxzR7_rfdA,2020-10
AXjK_-A2LVwDtjXR1eq-,1606,The Bronx,,40.8926347001313,-73.9098997997359,Ii3eqLbloc1HQvf_XiDZhw,2019-10
AXjK_-ABgxjkLnQCdqYi,912,The Bronx,,40.8463064990457,-73.9094306000421,_feFQcqbq_H7Ro5a3hHDLQ,2019-08
AXjK_-ARLVwDtjXR1eq9,1605,The Bronx,,40.8860049996311,-73.911848000185,1eLhQCdkiPEFpwpm-3eQbw,2019-10
AXjK_-AlgxjkLnQCdqYj,913,The Bronx,,40.8461850977641,-73.9093216957396,PJZTn1WsLXgDngUBNLMVoA,2019-08
AXjK_-BKgxjkLnQCdqYk,914,The Bronx,,40.8208543001859,-73.9211803001307,9D5xCw9YmsmZetkGx8y8Dw,2016-08
AXjK_-BfLVwDtjXR1eq_,1607,The Bronx,,40.8944287999492,-73.9100494999844,yTfxnoOQ-KsxskioZhiw4A,2019-10
AXjK_-BxgxjkLnQCdqYl,929,The Bronx,,40.8466380997685,-73.8351958998708,Hi73XGW_Yy6dMuf6z8iwfw,2019-09
AXjK_-CCLVwDtjXR1erA,1609,The Bronx,,40.8965690002592,-73.909909300174,DFurxEzVSHGAgcop9dQcpQ,2019-10
AXjK_-CbgxjkLnQCdqYm,930,The Bronx,,40.8440742998891,-73.8356741998044,Kd80gTMwnTblPlbfwti-UA,2017-10
AXjK_-CkLVwDtjXR1erB,1610,The Bronx,,40.8995999997402,-73.9088277997631,H98p9o0KfiUTHaAAS9dUNQ,2019-08
AXjK_-DEgxjkLnQCdqYn,1612,The Bronx,,40.9022589002281,-73.9078336999652,yArZxSbdQ-cvEWmShc_sVA,2019-08
AXjK_-DFLVwDtjXR1erC,931,The Bronx,,40.9000987997199,-73.8422072996271,aaSgF3Q5fmck92Was9qCxg,2019-11
AXjK_-E1gxjkLnQCdqYq,936,The Bronx,,40.8787754000647,-73.9165605996919,qR1tiaG3lFTMUqNR0xfURQ,2019-10
AXjK_-E5LVwDtjXR1erF,1615,The Bronx,,40.9064221002997,-73.9067328002785,TqiaFCq2OiJpIOu0d4RuKQ,2019-10
AXjK_-ESLVwDtjXR1erE,1614,The Bronx,,40.9044655001828,-73.9071674003552,_3q4IPw_kJMNndt5EzHAAw,2019-08
AXjK_-FbgxjkLnQCdqYr,937,The Bronx,,40.8090539997423,-73.9148311998,Phs3SC0tNqBaH3sW_US2uw,2019-08
AXjK_-FcLVwDtjXR1erG,1616,The Bronx,,40.877047000219,-73.9002139996763,dEM6KI-LNL3y4ZP5JbhLJQ,2019-08
AXjK_-G3LVwDtjXR1erI,939,The Bronx,,40.8601345000072,-73.9064029001736,rx9hWxrDIwZ3mclrETOSKw,2019-10
AXjK_-GALVwDtjXR1erH,938,The Bronx,,40.861489399716,-73.9052107004135,e4Lifi9cC4hvXMJs1TvhJA,2019-10
AXjK_-GAgxjkLnQCdqYs,1617,The Bronx,,40.876061800112,-73.9013365001793,pMBSiW_VHDyEQrUuni83jg,2014-06
AXjK_-HsgxjkLnQCdqYu,1619,The Bronx,,40.8678210001391,-73.8634460002327,lEfhKXxbRHSEhaKRBiHJoA,2018-09
AXjK_-HwLVwDtjXR1erJ,940,The Bronx,,40.8596079001845,-73.9068669998122,HCfRKcC5u1yK-YAvbUo6SQ,2019-10
AXjK_-I6LVwDtjXR1erL,942,The Bronx,,40.8773679997335,-73.868068000238,X1eSEnWnlKyLuDlpITe9Gw,2018-05
AXjK_-IPgxjkLnQCdqYv,1620,The Bronx,,40.8675749995866,-73.8500029999385,An03zXA5lrTkcne2ar1DIw,2018-09
AXjK_-ITLVwDtjXR1erK,941,The Bronx,,40.8564941001227,-73.9095932999908,ceUohJcnVf0UnIfy_RNtgA,2019-10
AXjK_-J7LVwDtjXR1erM,945,The Bronx,,40.8665970003514,-73.8005632003314,W3rHr9WFP_hPBS3l2CDUDw,2020-10
AXjK_-JMgxjkLnQCdqYw,1621,The Bronx,TrafficLight,40.8679486004476,-73.8704751004455,TMPorUYFH1GG9jIu84J8pw,2019-08
AXjK_-JygxjkLnQCdqYx,1622,The Bronx,TrafficLight,40.8677820001392,-73.8614980003324,xBn6LGpGyak0A7pG8LFx5g,2019-09
AXjK_-K6gxjkLnQCdqYz,1624,The Bronx,,40.8678739998853,-73.8662639997837,HoTZ4IbKRd4Xd88gAR9T-g,2019-08
AXjK_-KVgxjkLnQCdqYy,1623,The Bronx,,40.869351100373,-73.836564400027,WvZTZSb79D0RHzk-ejmt2w,2019-10
